"LogMode","MaximumSizeInBytes","RecordCount","LogName","TimeCreated","LevelDisplayName"
"Circular","1052672","27","Microsoft-Windows-TCPIP/Operational","16.11.2024 10:43:15","Сведения"
"Circular","1052672","27","Microsoft-Windows-TCPIP/Operational","16.11.2024 10:38:15","Сведения"
"Circular","1052672","27","Microsoft-Windows-TCPIP/Operational","06.12.2023 11:53:57","Сведения"
"Circular","1052672","2190","Microsoft-Windows-TaskScheduler/Maintenance","12.12.2024 10:11:51","Сведения"
"Circular","1052672","2190","Microsoft-Windows-TaskScheduler/Maintenance","12.12.2024 10:11:51","Сведения"
"Circular","1052672","2190","Microsoft-Windows-TaskScheduler/Maintenance","12.12.2024 9:59:03","Сведения"
"Circular","16777216","600","Microsoft-Windows-Storsvc/Diagnostic","12.12.2024 8:56:29","Сведения"
"Circular","16777216","600","Microsoft-Windows-Storsvc/Diagnostic","10.12.2024 15:07:03","Сведения"
"Circular","16777216","600","Microsoft-Windows-Storsvc/Diagnostic","10.12.2024 8:48:25","Сведения"
"Circular","20000000","27709","Microsoft-Windows-Store/Operational","12.12.2024 12:09:31","Сведения"
"Circular","20000000","27709","Microsoft-Windows-Store/Operational","12.12.2024 12:09:31","Сведения"
"Circular","20000000","27709","Microsoft-Windows-Store/Operational","12.12.2024 12:09:23","Сведения"
"Circular","1052672","605","Microsoft-Windows-StorageSpaces-Driver/Operational","12.12.2024 8:55:27","Сведения"
"Circular","1052672","605","Microsoft-Windows-StorageSpaces-Driver/Operational","12.12.2024 6:52:53","Сведения"
"Circular","1052672","605","Microsoft-Windows-StorageSpaces-Driver/Operational","12.12.2024 6:52:47","Сведения"
"Circular","67108864","104","Microsoft-Windows-StorageSettings/Diagnostic","29.01.2024 11:02:13","Сведения"
"Circular","67108864","104","Microsoft-Windows-StorageSettings/Diagnostic","29.01.2024 11:02:13","Сведения"
"Circular","67108864","104","Microsoft-Windows-StorageSettings/Diagnostic","29.01.2024 11:02:13","Сведения"
"Circular","33554432","17982","Microsoft-Windows-Storage-Storport/Operational","12.12.2024 11:34:27","Ошибка"
"Circular","33554432","17982","Microsoft-Windows-Storage-Storport/Operational","12.12.2024 11:16:24","Сведения"
"Circular","33554432","17982","Microsoft-Windows-Storage-Storport/Operational","12.12.2024 11:16:24","Сведения"
"Circular","6291456","1368","Microsoft-Windows-Storage-Storport/Health","12.12.2024 9:06:26","Сведения"
"Circular","6291456","1368","Microsoft-Windows-Storage-Storport/Health","12.12.2024 8:55:26","Предупреждение"
"Circular","6291456","1368","Microsoft-Windows-Storage-Storport/Health","12.12.2024 6:52:47","Предупреждение"
"Circular","6291456","5170","Microsoft-Windows-Storage-ClassPnP/Operational","12.12.2024 6:53:38","Ошибка"
"Circular","6291456","5170","Microsoft-Windows-Storage-ClassPnP/Operational","12.12.2024 6:52:53","Ошибка"
"Circular","6291456","5170","Microsoft-Windows-Storage-ClassPnP/Operational","12.12.2024 6:52:53","Ошибка"
"Circular","5242880","9167","Microsoft-Windows-StateRepository/Operational","12.12.2024 11:44:14","Подробно"
"Circular","5242880","9167","Microsoft-Windows-StateRepository/Operational","12.12.2024 10:44:15","Подробно"
"Circular","5242880","9167","Microsoft-Windows-StateRepository/Operational","12.12.2024 9:41:58","Подробно"
"Circular","8388608","9150","Microsoft-Windows-SMBServer/Operational","12.12.2024 10:36:21","Сведения"
"Circular","8388608","9150","Microsoft-Windows-SMBServer/Operational","12.12.2024 10:35:50","Сведения"
"Circular","8388608","9150","Microsoft-Windows-SMBServer/Operational","12.12.2024 10:35:26","Сведения"
"Circular","8388608","916","Microsoft-Windows-SmbClient/Security","12.12.2024 10:35:23","Предупреждение"
"Circular","8388608","916","Microsoft-Windows-SmbClient/Security","12.12.2024 8:55:36","Предупреждение"
"Circular","8388608","916","Microsoft-Windows-SmbClient/Security","12.12.2024 6:53:02","Предупреждение"
"Circular","8388608","18720","Microsoft-Windows-SmbClient/Connectivity","12.12.2024 10:36:29","Сведения"
"Circular","8388608","18720","Microsoft-Windows-SmbClient/Connectivity","12.12.2024 10:36:23","Сведения"
"Circular","8388608","18720","Microsoft-Windows-SmbClient/Connectivity","12.12.2024 10:36:21","Сведения"
"Circular","8388608","17","Microsoft-Windows-SmbClient/Audit","15.02.2024 16:16:19","Сведения"
"Circular","8388608","17","Microsoft-Windows-SmbClient/Audit","15.02.2024 15:56:19","Сведения"
"Circular","8388608","17","Microsoft-Windows-SmbClient/Audit","15.02.2024 15:36:18","Сведения"
"Circular","1052672","2140","Microsoft-Windows-ShellCommon-StartLayoutPopulation/Operational","12.12.2024 8:56:03","Сведения"
"Circular","1052672","2140","Microsoft-Windows-ShellCommon-StartLayoutPopulation/Operational","12.12.2024 8:56:03","Сведения"
"Circular","1052672","2140","Microsoft-Windows-ShellCommon-StartLayoutPopulation/Operational","12.12.2024 8:55:53","Сведения"
"Circular","1052672","2186","Microsoft-Windows-Shell-Core/Operational","12.12.2024 11:36:21","Сведения"
"Circular","1052672","2186","Microsoft-Windows-Shell-Core/Operational","12.12.2024 11:36:21","Сведения"
"Circular","1052672","2186","Microsoft-Windows-Shell-Core/Operational","12.12.2024 11:36:19","Сведения"
"Circular","1052672","2154","Microsoft-Windows-Shell-Core/AppDefaults","12.12.2024 9:11:01","Сведения"
"Circular","1052672","2154","Microsoft-Windows-Shell-Core/AppDefaults","12.12.2024 9:01:55","Сведения"
"Circular","1052672","2154","Microsoft-Windows-Shell-Core/AppDefaults","12.12.2024 9:01:55","Сведения"
"Circular","1052672","1","Microsoft-Windows-SettingSync/Operational","26.07.2023 20:01:41","Ошибка"
"Circular","1052672","1295","Microsoft-Windows-SettingSync/Debug","12.12.2024 9:41:52","Ошибка"
"Circular","1052672","1295","Microsoft-Windows-SettingSync/Debug","12.12.2024 9:41:52","Ошибка"
"Circular","1052672","1295","Microsoft-Windows-SettingSync/Debug","12.12.2024 9:41:52","Ошибка"
"Circular","1052672","1558","Microsoft-Windows-Security-SPP-UX-Notifications/ActionCenter","12.12.2024 10:37:44","Предупреждение"
"Circular","1052672","1558","Microsoft-Windows-Security-SPP-UX-Notifications/ActionCenter","12.12.2024 10:36:14","Предупреждение"
"Circular","1052672","1558","Microsoft-Windows-Security-SPP-UX-Notifications/ActionCenter","12.12.2024 10:35:51","Предупреждение"
"Circular","1052672","9","Microsoft-Windows-Security-SPP-UX-GenuineCenter-Logging/Operational","09.04.2024 8:05:37","Ошибка"
"Circular","1052672","9","Microsoft-Windows-Security-SPP-UX-GenuineCenter-Logging/Operational","08.04.2024 16:18:45","Ошибка"
"Circular","1052672","9","Microsoft-Windows-Security-SPP-UX-GenuineCenter-Logging/Operational","06.04.2024 8:49:29","Ошибка"
"Circular","1052672","575","Microsoft-Windows-Security-Mitigations/KernelMode","12.12.2024 12:10:58","Предупреждение"
"Circular","1052672","575","Microsoft-Windows-Security-Mitigations/KernelMode","12.12.2024 12:08:55","Предупреждение"
"Circular","1052672","575","Microsoft-Windows-Security-Mitigations/KernelMode","12.12.2024 12:06:50","Предупреждение"
"Circular","1052672","540","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","10.12.2024 16:02:15","Сведения"
"Circular","1052672","540","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","10.12.2024 15:16:10","Сведения"
